region_id,state,zone,city
R001,SD,Midwest,Abigailfort
R002,MN,Midwest,Port Nicoletown
R003,WV,South,Stephenside
R004,AR,West,South Henryfort
R005,ME,South,East Brittany
R006,IA,South,South Benjamin
R007,NC,East,Karenchester
R008,IN,East,Port Robertfort
R009,PA,West,New Carolynshire
R010,ME,East,West Amandaville
R011,TN,East,Michelleville
R012,WY,East,Bobshire
R013,HI,South,Elizabethburgh
R014,NJ,East,South Maria
R015,VT,Midwest,West Sandrashire
R016,NV,South,South Robert
R017,WY,South,Russellfort
R018,GA,West,Williamsborough
R019,NM,West,East Danhaven
R020,TX,West,Lake Davidchester
R021,NC,Midwest,East Nicholasville
R022,MA,South,Lake Stephen
R023,DE,West,New Daniel
R024,VT,South,New Christianburgh
R025,NH,West,West Vanessa
R026,OK,Midwest,West Joshua
R027,VA,West,Martinborough
R028,DC,East,Wellston
R029,HI,Midwest,West Coreyton
R030,AZ,East,East Rhonda
R031,CA,Midwest,North Barbara
R032,NE,East,Clarkland
R033,MI,Midwest,Simmonstown
R034,AZ,South,New Carolynmouth
R035,UT,West,Gordonview
R036,AZ,West,Port Victoria
R037,MD,South,Karenfurt
R038,UT,South,East Sharon
R039,MD,East,New Jenniferton
R040,IN,South,Carlaville
R041,MO,South,Courtneyburgh
R042,NV,West,Robinsonshire
R043,WI,West,Lake David
R044,OR,Midwest,North Janet
R045,WV,South,Whiteheadborough
R046,CT,West,Lake Jason
R047,WY,Midwest,Port Danielberg
R048,NM,South,Jasmineland
R049,WV,Midwest,Port Christine
R050,IN,Midwest,South James
R051,RI,South,Garciastad
R052,ND,South,North Robert
R053,OK,South,New Jenna
R054,MS,East,Jenniferside
R055,VT,South,West Jeremy
R056,SC,East,Port Robertmouth
R057,ND,South,Jamesburgh
R058,MD,Midwest,Farmerside
R059,RI,West,Blackburnport
R060,ND,South,East Elizabeth
R061,DE,West,South Kelly
R062,LA,West,Lake Chloeview
R063,CO,East,New Angelmouth
R064,AR,East,North Brian
R065,ME,East,North Lorrainebury
R066,OR,West,Port Marymouth
R067,PA,East,Johnsonfort
R068,MO,East,Melissatown
R069,MI,East,Mariaburgh
R070,ID,East,Browntown
R071,WI,West,Port Kent
R072,AL,West,Cardenasview
R073,AK,West,New Gregorymouth
R074,FL,Midwest,Port Christie
R075,MA,West,Destinyhaven
R076,WI,Midwest,New Thomasview
R077,AZ,East,Barbarashire
R078,IN,Midwest,Martinport
R079,MS,East,Rodriguezland
R080,ID,West,Lake Tracie
R081,IL,East,Michellehaven
R082,SD,East,Parkchester
R083,WI,West,Sweeneyville
R084,IL,Midwest,Collinsshire
R085,CT,Midwest,North Sarahbury
R086,NE,East,Wayneland
R087,LA,Midwest,Owenston
R088,ND,Midwest,Watsonfort
R089,TN,South,Lake Brandon
R090,IA,South,New Jeremy
R091,LA,South,South Matthewchester
R092,FL,East,Bryantchester
R093,IN,West,West Stevenmouth
R094,TX,South,Jordanberg
R095,VT,Midwest,Barryborough
R096,LA,South,Johnmouth
R097,ND,East,Burgessburgh
R098,NY,East,North Jamesstad
R099,HI,South,Lindabury
R100,ID,South,Lake Nicholasport
